Dimension (d),Samples (n),Training Time (s)
10,500,0.4339900016784668
10,1000,0.8532960414886475
10,5000,4.362215995788574
10,10000,8.709314107894897
10,100000,86.35050010681152
50,500,0.43620777130126953
50,1000,0.8804581165313721
50,5000,4.423753976821899
50,10000,8.731518983840942
50,100000,87.63934183120728
100,500,0.4318549633026123
100,1000,0.8767709732055664
100,5000,4.427823066711426
100,10000,8.922843217849731
100,100000,89.06591701507568
500,500,0.4925711154937744
500,1000,1.0434741973876953
500,5000,5.466871738433838
500,10000,499.1880340576172
500,100000,2295.7851181030273
1000,500,0.5867030620574951
1000,1000,1.2029078006744385
1000,5000,6.714379072189331
1000,10000,1023.3845357894897
1000,100000,151.3939049243927
